Total unique instances: 7745
Total mastodon.social instances: 137991
Total non-mastodon.social instances: 98486

Instance Rankings:
weeaboo.space: 23
bookwyrm.social: 23
trash.social: 23
mastd.racing: 23
heislandmine.work: 23
mstdn.onosendai.jp: 23
beta.birdsite.live: 23
social.mastodon.com.au: 22
sigmoid.social: 22
pony.social: 22
sn.angry.im: 22
mastodon.brussels: 22
mstdn-bike.net: 22
mstdn.y-zu.org: 22
mstdn.nere9.help: 22
mastodon.ktachibana.party: 22
retro.social: 21
cute.group: 21
toot.io: 21
newsie.social: 21
nfg.zone: 21
mastodon.green: 21
toot.kif.rocks: 21
myasstodon.xyz: 21
allpro.social: 21
bark.lgbt: 21
iamveryti.red: 21
miniwa.moe: 21
social.isurf.ca: 21
ihatebeinga.live: 20
kith.kitchen: 20
mastodon.hasameli.com: 20
unnerv.jp: 20
social.treehouse.systems: 20
tooting.ch: 20
lou.lt: 20
mastodon.sandwich.net: 20
retro.pizza: 20
zirk.us: 20
iscute.moe: 20
pdx.social: 20
mathtod.online: 20
snabelen.no: 20
types.pl: 20
masto.donte.com.br: 20
lemmy.ml: 20
norze.world: 20
animal.business: 20
tiggi.es: 20
kemonodon.club: 20
bookwor.ms: 20
digforfire.org: 20
gamestop.store: 20
x0f.org: 19
dads.cool: 19
theboss.tech: 19
mstdn.hokkaido.jp: 19
spacepub.space: 19
cryptodon.lol: 19
hellsite.tyronesama.moe: 19
olds.town: 19
bugs.social: 19
otoya.space: 19
social.net.ua: 19
kodlomrazi.ru: 19
freeatlantis.com: 19
activism.openworlds.info: 18
www.librepunk.club: 18
openbiblio.social: 18
cathode.church: 18
mastodos.com: 18
mst3k.interlinked.me: 18
snabeltann.no: 18
peertube.video: 18
queer.garden: 18
union.place: 18
disqordia.space: 18
nutt.church: 18
imaginair.es: 18
piss.restaurant: 18
wobbl.xyz: 18
flower.afn.social: 18
qdon.space: 18
mstdn.love: 18
vapers.jp: 18
skull.website: 17
xn--69aa8bzb.xn--y9a3aq: 17
marxism.party: 17
venera.social: 17
boing.world: 17
pipou.academy: 17
exode.me: 17
gay.crime.team: 17
ni.hil.ist: 17
pentacl.es: 17
peertube.uno: 17
red.confederac.io: 17
podcastindex.social: 17
videos.pair2jeux.tube: 17
shrike.club: 17
vocalounge.cafe: 17
calckey.social: 17
kangaroo.to: 17
mstdn.games: 17
ehjovan.com: 17
rcsocial.net: 17
socialhome.network: 17
b3ta.social: 17
theres.life: 17
kiritan.work: 17
zotum.net: 17
zhub.link: 17
community.highlandarrow.com: 16
ubuntu.social: 16
shigusegubu.club: 16
toot.si: 16
artisan.chat: 16
bibeogaem.zone: 16
social.csswg.org: 16
tegedon.net: 16
hub.disroot.org: 16
tube.p2p.legal: 16
geekdom.social: 16
masto.jews.international: 16
cutie.space: 16
